ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Character,CharacterVariants,Pinyin,WordFamily,FormVariants
LateHanChinese-72-Discriminatedistinguish-1,"bàn2,biàn",LateHanChinese,72-Discriminatedistinguish,"bɛnᶜ,bɨanᶜ",bɛnᶜ,,,Schuessler2007,72,,,,釆,,"bàn2,biàn","bàn2,biàn",
MiddleChinese-72-Discriminatedistinguish-1,"bàn2,biàn",MiddleChinese,72-Discriminatedistinguish,"bănᶜ,bjänᶜ 3 [Shiwen]",bănᶜ,,,Schuessler2007,72,,,,釆,,"bàn2,biàn","bàn2,biàn",
LateHanChinese-73-Sectionsofafruit-1,bàn,LateHanChinese,73-Sectionsofafruit,bɛnᶜ,bɛnᶜ,,,Schuessler2007,73,,,,瓣,,bàn,"bàn2,biàn",
MiddleChinese-73-Sectionsofafruit-1,bàn,MiddleChinese,73-Sectionsofafruit,bănᶜ,bănᶜ,,,Schuessler2007,73,,,,瓣,,bàn,"bàn2,biàn",
OldChinese-74-Divide-1,biàn,OldChinese,74-Divide,*banɁ,banɁ,,,Schuessler2007,74,,,,辨,辨辯,biàn,"bàn2,biàn",*banɁ or *brenɁ ?
LateHanChinese-74-Divide-1,biàn,LateHanChinese,74-Divide,bianᴮ,bianᴮ,,,Schuessler2007,74,,,,辨,辨辯,biàn,"bàn2,biàn",
MiddleChinese-74-Divide-1,biàn,MiddleChinese,74-Divide,bjänᴮ 3,bjänᴮ_3,,,Schuessler2007,74,,,,辨,辨辯,biàn,"bàn2,biàn",
OldChinese-75-Todealwithhandlemanage-1,bàn3,OldChinese,75-Todealwithhandlemanage,*brâns,brâns,,,Schuessler2007,75,,,,辦,,bàn,bàn3,
LateHanChinese-75-Todealwithhandlemanage-1,bàn3,LateHanChinese,75-Todealwithhandlemanage,bɛnᶜ,bɛnᶜ,,,Schuessler2007,75,,,,辦,,bàn,bàn3,
MiddleChinese-75-Todealwithhandlemanage-1,bàn3,MiddleChinese,75-Todealwithhandlemanage,bănᶜ,bănᶜ,,,Schuessler2007,75,,,,辦,,bàn,bàn3,
